             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.367           0.0429             12.5             0.18             17.8             6.07             1.79
               1          0.0532         0.000633             8.54         -0.00934             16.5             4.68             1.59
               2          0.0333         0.000486             8.13          0.00299             16.9             4.85             1.64
               3          0.0267         0.000584             8.26           0.0099             16.3             4.78             1.55
               4          0.0276         0.000519              8.1         -0.00135             16.7             4.66              1.6
               5          0.0329         0.000479             8.19         -0.00361             17.2             4.41             1.69
               6           0.019         0.000612             8.83          0.00691             20.5             7.65              2.2
               7        -0.00093          0.00193             9.66          0.00833             21.7             8.58             2.41
               8          0.0163         0.000914             8.93         -0.00298             17.2             4.72             1.68
               9          0.0122         0.000765             8.51         0.000338             16.8             4.53             1.62
              10          0.0194         0.000632             8.39        -0.000406             18.1             5.46             1.82
              11         0.00627          0.00153              9.1          0.00404             19.2             6.39             2.01
              12          0.0253          0.00136              8.8         -0.00402             17.3             4.76              1.7
              13          0.0418         0.000714             8.37          -0.0049             16.3             3.62             1.55
              14          0.0382          0.00035             8.24         -0.00671             16.8             4.36             1.63
              15          0.0318         0.000458             8.33         -0.00316             17.4              4.9             1.73
              16           0.033         0.000651             8.44         -0.00657             17.7             5.44             1.77
              17          0.0286          0.00089             8.38         -0.00672             17.7             5.16             1.77
              18          0.0215           0.0012             8.44          -0.0041             17.6             4.83             1.76
              19           -0.01          0.00109             8.31         -0.00431             17.3             4.81             1.71
              20          0.0355         0.000994             8.11          -0.0116             16.7             4.36             1.62
              21          0.0282         0.000719              7.9         -0.00861             16.7             4.87             1.62
              22          0.0237         0.000957             8.02         -0.00554             16.3             4.49             1.56
              23          0.0174         0.000708             7.87         -0.00529             16.1             4.43             1.52
              24          0.0172         0.000877             7.82         -0.00504             16.3             4.63             1.55
