             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.344           0.0431             12.5            0.184             17.9                6             1.79
               1          0.0214         0.000666             8.56          0.00181             16.7             5.06             1.61
               2         -0.0355         0.000618             8.31         -0.00135             16.5             4.73             1.59
               3        -0.00772           0.0005             8.22          0.00157             16.3             4.61             1.55
               4         -0.0277         0.000598             8.09         -0.00355               16             4.03              1.5
               5        -0.00132         0.000409             8.01         -0.00225             16.8             4.59             1.61
               6         -0.0234          0.00042             8.18         1.47e-05             16.2             4.04             1.52
               7         0.00137         0.000315             8.08        -0.000392             16.8             5.06              1.6
               8         -0.0314         0.000521             8.27          0.00124             16.7             4.71             1.59
               9         -0.0064         0.000605             8.33         -0.00363             16.9             4.81             1.61
              10        -0.00956         0.000612             8.29        -4.52e-05             16.4             4.32             1.55
              11        -0.00332         0.000369              8.2         -0.00516             17.3             5.03             1.69
              12        -0.00383         0.000758             8.47         -0.00185             17.6             5.78             1.73
              13        -0.00498          0.00085             8.39         -0.00388             16.5             4.47             1.57
              14        -0.00258         0.000785             8.28          -0.0047             16.6             4.81             1.58
              15        -0.00648          0.00103             8.18         -0.00454             16.6             4.92             1.58
              16         -0.0204         0.000932             8.17          0.00467             16.9             5.14             1.62
              17          -0.014         0.000867             8.12          -0.0027               17             5.18             1.64
              18         -0.0117         0.000767             8.27         -0.00149             17.3             5.02              1.7
              19         -0.0021         0.000754             8.39          -0.0045             17.6             5.43             1.75
              20         -0.0164         0.000767              8.5         -0.00219             18.2              6.1             1.84
              21         -0.0113          0.00125             8.41         -0.00406             17.5             5.55             1.73
              22         0.00243         0.000912             8.14          -0.0119             17.5              5.5             1.73
              23         -0.0099         0.000946             8.36         -0.00418             17.5              5.4             1.73
              24         -0.0134          0.00127             8.61          -0.0086             17.8             5.62             1.79
